DEDICATED_ACCOUNT_ID, DESCRIPTION, UNIT_TYPE
443, IDD Bundle 1,1
444, IDD Bundle 2,1
445, IDD Bundle 3,1
446, Super Saver Bundle Daily  - Voice,1
447, Super Saver Bundle Weekly  - Voice,1
448, Super Saver Bundle Monthly  - Voice,1
449, Super Saver Bundle Daily  - Data,1
450, Super Saver Bundle Weekly  - Data,1
451, Super Saver Bundle Monthly  - Data,1
452, Midnight Bundle,1
453, ,1
454, ,1
455, ,1
456, ,1
457, ,1
458, ,1
459, ,1
460, ,1
461, ,1
462, Midnight_3ghcTo5ghc,1
465, Money Back Voice,1
466, Money Back Data,1
467, Student Pack Onnet DA ID,1
468, Student Pack Offnet DA ID,1
469, Student Pack Data DA ID,1
470, Student Pack SMS DA ID,1
471, Student Pack Lifestyle Bundle DA ID,1
500, 5% Bonus on Recharge,1
1000, MUL_DA_TEST_24102012,1
6011, MTN_Advantage,1
6013, MINI ADVANTAGE,1
6015, ADVANTAGE BONUS,1
10003, Nfinity_100MB,1
10004, Nfinity_250MB,1
10005, Nfinity_500MB,1
10006, Nfinity_1GB,1
10007, 5GHC_100MB_EVERY_DAY,6
10008, 10GHC_250MB_EVERY_DAY,6
10009, 20GHC_600MB_EVERY_DAY,6
10011, 120GHC_1024MB_EVERY_DAY,6
10012, DATA ONLY_7GHC,6
10013, DATA ONLY_10GHC,6
10014, DATA ONLY_15GHC,6
10015, DATA ONLY_20GHC,6
10016, DATA ONLY_30GHC,6
10017, DATA ONLY_5GHC,6
10051, MusicTime_50MB,6
10052, MusicTime_100MB,6
10053, MusicTime_250MB,6
10054, MusicTime_700MB,6
10055, DATA 25% Gift Bundle bonus,6
10060, PM REWARDS VOICE,0
10061, PM REWARDS DATA,6
20001, Nfinity_10Mins,1
20002, Nfinity_20Mins,1
20003, Nfinity_50Mins,1
20007, IDD Bundle GHC 20_GERMANY MOBILE,0
20008, IDD Bundle GHC 20_GERMANY FIXED,0
20009, IDD Bundle GHC 20_INDIA,0
20010, IDD Bundle GHC 20_FRANCE FIXED,0
20011, IDD Bundle GHC 20_FRANCE MOBILE,0
20012, IDD Bundle GHC 20_UAE,0
20013, IDD Bundle GHC 40_ITALY FIXED,0
20014, IDD Bundle GHC 40_ITALY MOBILE,0
20015, IDD Bundle GHC 40_BELGIUM,0
20016, IDD Bundle GHC 40_SPAIN FIXED,0
20017, IDD Bundle GHC 40_ SPAIN MOBILE,0
20018, IDD Bundle GHC 40_NETHERLANDS,0
20019, IDD Bundle GHC 30_GERMANY MOBILE,0
20020, IDD Bundle GHC 30_GERMANY FIXED,0
20021, IDD Bundle GHC 30_INDIA,0
20022, IDD Bundle GHC 30_FRANCE FIXED,0
20023, IDD Bundle GHC 30_FRANCE MOBILE,0
20024, IDD Bundle GHC 30_UAE,0
20025, IDD Bundle GHC 50_GERMANY MOBILE,0
20026, IDD Bundle GHC 50_GERMANY FIXED,0
20027, IDD Bundle GHC 50_INDIA,0
20028, IDD Bundle GHC 50_FRANCE FIXED,0
20029, IDD Bundle GHC 50_FRANCE MOBILE,0
20030, IDD Bundle GHC 50_UAE,0
20031, IDD Bundle GHC 50_ITALY FIXED,0
20032, IDD Bundle GHC 50_ITALY MOBILE,0
20033, IDD Bundle GHC 50_BELGIUM,0
20034, IDD Bundle GHC 50_SPAIN FIXED,0
20035, IDD Bundle GHC 50_ SPAIN MOBILE,0
20036, IDD Bundle GHC 50_NETHERLANDS,0
20037, IDD Bundle GHC 100_ITALY FIXED,0
20038, IDD Bundle GHC 100_ITALY MOBILE,0
20039, IDD Bundle GHC 100_BELGIUM,0
20040, IDD Bundle GHC 100_SPAIN FIXED,0
20041, IDD Bundle GHC 100_ SPAIN MOBILE,0
20042, IDD Bundle GHC 100_NETHERLANDS,0
40004, COMBO_Data_5GHC,6
40005, COMBO_Data_7GHC,6
40006, COMBO_Data_10GHC,6
40007, COMBO_Data_15GHC,6
40008, COMBO_Data_20GHC,6
40009, COMBO_Data_30GHC,6
40010, COMBO_Voice_5GHC,0
40011, COMBO_Voice_7GHC,0
40012, COMBO_Voice_10GHC,0
40013, COMBO_Voice_15GHC,0
40014, COMBO_Voice_20GHC,0
40015, COMBO_Voice_30GHC,0
40016, Farmers Onnet,1
40017, Farmers Offnet,1
40018, Farmers SMS,1
40019, Farmers Data,1
40028, Tertiary Package _Ghc40,0
40029, Tertiary Package _Ghc80,0
40030, Tertiary Package _Ghc120,0
40031, Tertiary Package _Ghc150,0
40032, Tertiary Package _Ghc170,0
40036, Tertiary Package _Ghc150,0
40037, Tertiary Package _Ghc170,0
40038, Tertiary Package _Ghc40,5
40039, Tertiary Package _Ghc80,5
40040, Tertiary Package _Ghc120,5
40041, Tertiary Package _Ghc150,5
40042, Tertiary Package _Ghc170,5
40043, Tertiary Package _Ghc40,6
40044, Tertiary Package _Ghc80,6
40045, Tertiary Package _Ghc120,6
40046, Tertiary Package _Ghc150,6
40047, Tertiary Package _Ghc170,6
40048, Tertiary Package _Ghc40,6
40049, Tertiary Package _Ghc80,6
40050, Tertiary Package _Ghc120,6
40051, Tertiary Package _Ghc150,6
40052, Tertiary Package _Ghc170,6
40088, 25th Anniversary Founding Fathers Free 2.5GB,6
40089, 25th Anniversary GenZ Millennials_ Free 2.5GB,6
100002, Football SMS Bundle ODR,5
100003, 138 DATA DA ODR,6
100004, Monthly_1GB,6
100006, Monthly_2.5GB,6
100007, ODR SME Plus Data,6
100018, Weekly_180MB,6
100019, DATA GHC 10,6
100020, Monthly_400MB,6
100021, ODR SME Plus Onnet Voice,0
100025, ODR HV PACK Onnet Voice,0
100026, Super Saver GHC 5 Voice,0
100027, Postpaid DATA TOPUP,6
100028, Super Saver GHC 5 SMS,5
100029, Holiday Offer Segment,6
100030, Super Saver GHC 5 Data,6
100031, Monthly_4GB,6
100032, Monthly_6GB,6
100033, 138 DATA DA ODR,6
100036, Birthday reward onnet voice,0
100037, Birthday reward SMS,5
100038, Birthday reward Data,6
100040, ODR SME Plus Offnet Voice,0
100042, ODR SME Plus SMS,5
100048, MashUp Free SMS,5
100093, ODR HV PACK SMS,5
100094, ODR HV PACK Data,6
100100, DATA GHC 0.5,6
100101, DATA GHC 1,6
100102, Daily_180MB,6
100108, Kokrokoo DATA,6
100110, Video Bundle GHC 1,6
100113, Holiday Offer Segment D_400MB And Above Cap_400MB Bon,6
100114, Lifestyle_400 MB,6
100170, 100MB Life Style Bundle,6
100175, 1GB Life Style Bundle,6
100188, Daily Data Redemption Cap,6
100189, Weekly Data Redemption Cap,6
100190, Monthly Data Redemption Cap,6
100204, Weekly-25MB,6
100206, Video Bundle GHC 10,6
100208, FTTX | WTTX ODR Data,6
100209, HSDP ODR Music | Video Plus Data,6
100221, Video Bundle GHC 5,6
100223, Kokrokoo Voice,0
100227, GHC3 Daily-500M,6
100232, IDD Bundle GHC 5_CANADA_UK FIXED_CHINA_USA_INDIA,0
100238, DATA GHC 1 (Midnight),6
100239, 138 DATA DA ODR,6
100241, HSDP Kumawood Freebies Data,6
100242, ODR Anniversary Bonus Onnet,0
100248, Weekly-1000MB,6
100308, FlyTxt Data,6
100309, Library Bonus_Data,6
100310, Library Bonus_Data,6
100311, Free_1GB Night Bundle,6
100312, Goody Hour_Lifestyle Bundle,6
100313, Goody Day_Lifestyle Bundle,6
100317, ODR Jaara2 Data,6
100318, ODR SME Plus Voice,0
100320, Internet Addiction_500MB_Bonus_Offer,6
100321, Internet Addiction_1GB_Bonus_Offer,6
100327, Onne Voice,0
100328, Onne Voice,0
100329, Allnet Voice,0
100330, Allnet Voice,0
100331, Allnet Voice,0
100332, Daily @1 for 60MB,6
100333, Daily @1 for 100MB,6
100334, Daily @1 for 130MB,6
100335, 3 Day @3 for 1GB,6
100336, Onne Voice,0
100337, 3 Day @3 for 2.5GB,6
100338, 3 Day @3 for 100MB,6
